"OBJECTID,N,10,0","NAME,C,80","STATUS,C,50","WATERSHED,C,50","COUNCIL_DI,C,5","PRIMARY_FE,C,50","SW_TREE_TR,C,50","SW_PLANTER,C,50","SW_BUMPOUT,C,50","RAIN_GARDE,C,50","SW_BASIN,C,50","INFILTRATI,C,50","POROUS_PAV,C,50","SWALE,C,50","SW_WETLAND,C,50","CISTERN_RA,C,50","GREEN_ROOF,C,50","OTHER,C,50","LINK,C,254","LONGITUDE,N,19,8","LATITUDE,N,19,8","LINK_1,C,100","LINK_2,C,100"
853,Shepard Recreation Center,In Design,Darby Cobbs Watershed,3,Stormwater Bumpout,Stormwater Tree Trench,Stormwater Planter,Stormwater Bumpout,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_bumpout,-75.23560863,39.95536867,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_bumpout
854,Shissler Playground,Constructed,Delaware River Watershed,7,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.13191087,39.97809808,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
855,Simons Recreation Center,In Design,Tookany-Tacony/Frankford Creek Watershed,9,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.15807911,40.06092526,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
856,Sister Clara Muhammad School,In Design,Schuylkill River Watershed,3,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.21617152,39.96978624,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
857,Skevchenko Park,In Design,Tookany-Tacony/Frankford Creek Watershed,9,Stormwater Bumpout,$,$,Stormwater Bumpout,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_bumpout,-75.14500400,40.03589500,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_bumpout
858,Smith Elementary School,In Design,Schuylkill River Watershed,2,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.17596727,39.93466296,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
859,Southwark School,In Design,Delaware River Watershed,1,Stormwater Tree Trench,Stormwater Tree Trench,$,$,$,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/stormwater_tree_trench,-75.15921170,39.92572077,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench
860,Southwest Treatment Plant Parking Lot,In Design,Delaware River Watershed,2,Porous Paving,$,$,$,$,$,$,Porous Paving,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/porous_paving,-75.22175600,39.88381200,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/porous_paving
861,Springfield Ave and Cobbs Creek Island,In Design,Darby Cobbs Watershed,2,Rain Garden,$,$,$,Rain Garden,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/tools/rain_garden,-75.23517631,39.93477571,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden
862,Springside School,Constructed,Wissahickon Creek Watershed,8,Rain Garden,$,$,$,Rain Garden,$,$,$,$,$,$,$,$,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/projects/springside_school,-75.21389645,40.06040377,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/projects/springside_school
