201,732-66 N 36TH ST,2-12,Miles Mack Playground,39.9582255,-75.1937714
202,4700-30 LANCASTER AVE,2-12,Muhammad Park,39.9716149,-75.2161098
203,7370 CENTRAL AVE,2-12,Burholme Park,40.0686375,-75.0885963
204,6401 ELMWOOD AVE,2-12,Connell Park,39.9230385,-75.2291643
205,5430-46 RACE ST,2-12,Nichols Park,39.9536273,-75.1406804
206,2500 S 77TH ST,2-12,Cibotti Playground,39.9086982,-75.2486363
207,2500 S 77TH ST,2-12,Eastwick Regional Park,39.9086982,-75.2486363
208,900 FEDERAL ST,2-12,Capitolo Playground,39.9337900,-75.1597990
209,2100 S 24TH ST,2-12,Smith Playground,39.9265004,-75.1863785
210,3300-26 WALLACE ST,2-12,33rd & Wallace Playground,39.9651179,-75.1908640
211,7701 MANSFIELD AVE,2-12,Finley Park,40.0646908,-75.1703778
212,6744 REGENT ST,2-12,McCreesh Playground,39.9260562,-75.2408773
213,4310 HAVERFORD AVE,2-12,Lee Cultural Center,39.9615560,-75.2104440
214,2020-50 W LEHIGH AVE,2-12,Cecil B Moore Recreation Center,39.9951885,-75.1645571
215,1202-32 E MONTGOMERY AVE,2-12,Fishtown Playground,39.9718684,-75.1280311
216,1010 ARROTT ST,2-12,Simpson Recreation Center,40.0218028,-75.0931794
217,4301 PRINCETON AVE,2-12,Mullin Playground,40.0322640,-75.0408379
218,213 W ONTARIO ST,2-5,Reed Playground,40.0023730,-75.1332230
219,4971 BAYNTON ST,2-12,Wister Playground,40.0323411,-75.1609430
220,8725 VERREE RD,2-12,CCA Baldi Playground,40.0920140,-75.0506200
221,5800 WALNUT ST,5-12,Sayre Morris Playground,39.9574750,-75.2385680
222,5800 CHESTER AVE,2-12,Francis Myers Park,39.9357137,-75.2285321
223,3400-02 N 22ND ST,5-12,22nd & Ontario Playground,39.9540524,-75.1766675
224,5801 FRANKFORD AVE,2-12,Wissinoming Park,40.0264176,-75.0686452
225,13024 STEVENS RD,2-12,Boyle Playground,40.1206956,-75.0083227
226,1101 W SUSQUEHANNA AVE,2-12,Penrose Playground,39.9859830,-75.1518866
227,9201 N DELAWARE AVE,2-12,Pleasant Hill Park,40.0425574,-74.9909436
228,743-81 N 48TH ST,2-12,Mill Creek Playground,39.9611757,-75.2164749
229,800 N 08TH ST,2-12,East Poplar Playground,39.9655439,-75.1510648
230,4901 KINGSESSING AVE,2-12,Kingsessing Park,39.9430842,-75.2153118
231,800 W CUMBERLAND ST,2-12,Veterans Playground,39.9890320,-75.1463610
232,231-37 E WYOMING AVE,2-12,Feltonville Playground,40.0224490,-75.1293029
233,1385 RUAN ST,2-12,Deni Playground,40.0119169,-75.0916230
234,8200 LYONS AVE,2-5,Pepper School Playground,39.8981908,-75.2468468
235,NORTH 27TH AVE AND PENNSYLVANIA AVE,2-5,26th & Pennsylvania Avenue,39.9874319,-75.1775629
236,S. CHAMOUNIX DRIVE AND BELMONT MANSION DRIVE,5-12,Belmont Grove,39.9930505,-75.2149846
237,S. CONCOURSE DRIVE AND BELMONT AVENUE,5-12,Carousel House,39.9786210,-75.2137050
238,ENFIELD AVENUE AND TORRESDALE AVE,5-12,Enfield Street- Pennypack Creek Park,40.0381250,-75.0196710
239,4600 MORRIS ST,5-12,Fernhill Park South,40.0215842,-75.1685810
240,2400 N 11TH ST,2-12,Fotteral Square,39.9895290,-75.1508640
241,575 TOMLINSON RD,5-12,Gifford Playground,40.1152280,-75.0252150
242,AVENUE OF THE REPUBLIC AND EAST MEMORAL HALL DRIVE,5-12,Kelly Pool,40.0079032,-75.3071033
243,POPLAR DRIVE AND POPLAR STREET,2-5,Lemon Hill- East Park,39.9735873,-75.1869866
244,RHAWN ST AND HOLMEHURST AVE,5-12,Little City- Pennypack Creek Park,40.0509171,-75.0361546
245,N 33RD STREET AND DIAMOND ST,2-12,Mander Playground,39.9886650,-75.1870590
246,LANSDOWNE AVENUE AND N 68TH ST,2-12,Papa Playground,39.9742581,-75.2552120
247,PARKSIDE AVENUE AND ABERDEEN ST,5-12,Parkside-Evans Playground,39.9820820,-75.2265860
248,LANSDOWNE AVE AND N 75TH ST,2-12,Rose Playground,39.9724218,-75.2598137
249,PENNSYLVANIA AVENUE AND SPRING GARDEN STREET,2-5,Van Coln Community Center,39.9643287,-75.1760771
250,SUSQUEHANNA RD AND VERREE RD,2-12,Verree Road & Susquehanna Rd- Pennypack Park,40.0801900,-75.0685279
251,COBBS CREEK PKWY AND WHITBY AVE,2-12,Whitby Avenue Playground,39.9402923,-75.2367187
252,2132-34 Cherry Street,2-12,Coxe Park Playground,39.9567640,-75.1755090
253,Ogantz & Olney Avenues,5-12,Kemble Park,40.0389771,-75.1499928
254,4208-52 RIDGE AVE,2-12,Inn Yard Park,40.0089674,-75.1941603
1,4131 UNRUH AVE,2-12,Vogt Recreation Center,40.0302320,-75.0505079
2,5700 TORRESDALE AVE,2-12,Moss Playground,40.0164190,-75.0632110
