140,Etting Square,6,3255 N MARSTON ST,19129,40.0058360,-75.1742100
141,Julian Abele Park,7,923 S 22ND ST,19146,39.9409250,-75.1792860
142,Ralph Brooks Park,7,1601-13 S 20TH ST,19145,39.9528197,-75.1732567
143,Gilbert Stuart Park,4,5132 GERMANTOWN AVE,19144,40.0307480,-75.1668700
144,Nicetown Park,4,4369-71 GERMANTOWN AVE,19140,40.0209049,-75.1573162
145,Diamond Park,6,1736-44 DIAMOND ST,19121,39.9852860,-75.1626400
146,Wolf Park,4,7018 MC CALLUM ST,19119,36.0644499,-79.9034596
147,Bardascino Park,7,1000 S 10TH ST,19147,39.9379561,-75.1597090
148,Donnelly Park,7,230-34 DICKINSON ST,19147,39.9286704,-75.1452200
149,Palumbo Park,7,723 CATHARINE ST,19147,39.9392600,-75.1555870
150,Hamilton Park,3,547 RISING SUN AVE,19140,40.0091490,-75.1378252
151,Buckley Park,4,8199 GERMANTOWN AVE,19118,40.0732198,-75.2026333
152,West Triangle,5,200 N 19TH ST,19103,39.9585492,-75.1704881
153,Newhall Park,4,5322 NEWHALL ST,19144,40.0272620,-75.1743680
154,Leverington Park,4,4605 UMBRIA ST,19127,40.0297476,-75.2292819
155,Paolone Park,7,732 SEARS ST,19147,39.9324050,-75.1571910
156,Howard & Reed Park,7,105 REED ST,19147,39.9302663,-75.1467655
157,Daly Park,3,1240 W SEDGELY AVE,19133,39.9997848,-75.1504848
158,Beck Park,7,839 S 02ND ST,19147,39.9364729,-75.1466769
159,Coxe Park,5,2132-34 CHERRY ST,19103,39.9567640,-75.1755090
160,Bringhurst Park,4,200 E BRINGHURST ST,19144,40.0335443,-75.1654369
161,22nd & Catherine Park,7,2200 CATHARINE ST,19146,39.9422760,-75.1793810
162,Boone Park,4,4200 BOONE ST,19128,40.0255946,-75.2185577
163,I-95 Park,5,301-999 S FRONT ST,19147,39.9334447,-75.1456875
164,Pulaski Park,2,3001 E ALLEGHENY AVE,19134,39.9789680,-75.0948180
165,Logan Square,5,200 N 19TH ST,19103,39.9585492,-75.1704881
166,Manton Street Park,7,405-11 MANTON ST,19147,39.9329259,-75.1513927
67,Clearview Park,8,7600 BUIST AVE,19153,39.9071770,-75.2453869
68,Connell Park,8,6401 ELMWOOD AVE,19142,39.9230385,-75.2291643
69,Center Square,5,1400 JOHN F KENNEDY BLV,19107,39.9533330,-75.1633327
70,McMichael Park,4,3201-45 MIDVALE AVE,19129,40.0184249,-75.1862204
71,Fotteral Square,6,2400 N 11TH ST,19133,39.9895290,-75.1508640
72,Harrowgate Park,2,3455 KENSINGTON AVE,19134,39.9999517,-75.1070347
73,Lardner's Point Park,2,5202 LEVICK ST,19135,40.0150718,-75.0461449
74,Mifflin Square,7,500 WOLF ST,19148,39.9199935,-75.1556071
75,Overington Park,3,4600 LEIPER ST,19124,40.0161803,-75.0880340
76,Girard Estates Park,7,2101 SHUNK ST,19145,39.9203470,-75.1831810
77,Park Towne,5,BENJAMIN FRANKLIN PKY,19130,39.9625562,-75.1773861
78,Clara Muhammad Square,8,4700-30 LANCASTER AVE,19131,39.9716149,-75.2161098
79,Harper's Hollow Park,4,5850 OGONTZ AVE,19141,40.0431461,-75.1499306
80,Poquessing Creek Park,1,1300-2600 POQUESSING CRK DR,19116,40.1250796,-74.9936455
81,Jefferson Square,7,300 WASHINGTON AVE,19147,39.9335780,-75.1501580
82,63rd & Lindbergh Park,8,2800 S 63RD ST,19142,39.9201350,-75.2238260
83,Northwood Park,3,999 ARROTT ST,19124,40.0230900,-75.0924880
84,Pleasanthill Park,1,9201 N DELAWARE AVE,19114,40.0425574,-74.9909436
85,Fairhill Square,6,2601-61 N LAWRENCE ST,19133,39.9903941,-75.1395936
86,Kelly Park,4,440-42 PARKER AVE,19128,40.0351711,-75.2357654
87,Campbell Square,2,2525 E ALLEGHENY AVE,19134,39.9859693,-75.1039218
88,Cloverly Park,4,5425 WISSAHICKON AVE,19144,40.0246226,-75.1804500
89,Matthias Baldwin Park,5,423-33 N 19TH ST,19130,40.0080867,-75.1595083
90,John F. Kennedy Plaza,5,1501 JOHN F KENNEDY BLV,19102,39.9536171,-75.1650644
91,Womrath Park,3,4098 FRANKFORD AVE,19124,40.0213938,-75.0799945
92,Clarkson Park,3,5401-55 N BROAD ST,19141,40.0352967,-75.1455693
93,Vine Street Cover,5,200 N 18TH ST,19103,39.9570373,-75.1691887
94,Foglietta Plaza,5,109 SPRUCE ST,19106,39.9448450,-75.1435690
95,Manayunk Park,4,4300 SILVERWOOD ST,19127,40.0260535,-75.2209031
96,Aviator Park,5,200 N 19TH ST,19103,39.9585492,-75.1704881
97,Cassiano Park,6,2301 N 04TH ST,19133,39.9859990,-75.1393510
98,Kay Park,4,4712 PULASKI AVE,19144,40.0220280,-75.1666740
99,Sherwood Park,8,5601 BALTIMORE AVE,19143,39.9466167,-75.2365830
100,Sisters City Park,5,200 N 18TH ST,19103,39.9570373,-75.1691887
101,Howell Park,4,5215 GREENE ST,19144,40.0305090,-75.1686230
102,Shevchenko Park,3,5301 N BROAD ST,19141,40.0346920,-75.1453060
103,Innyard Park,5,4208-52 RIDGE AVE,19129,40.0089674,-75.1941603
104,Lovett Park,4,6923-45 GERMANTOWN AVE,19119,40.0560897,-75.1876253
105,Three Parkway,5,110 N 16TH ST,19103,39.9506840,-75.1676120
106,Buist Park,8,2528 HOBSON ST,19142,39.9187170,-75.2331480
107,Fairview Park,4,4418 MANAYUNK AVE,19128,40.0304020,-75.2201720
108,Winston Park,4,181-85 E WILLOW GROVE AVE,19118,40.0722158,-75.1992965
109,Konrad Square,2,2200-26 E DAUPHIN ST,19125,39.9793380,-75.1279390
110,Woodward Pines,4,7930-34 LINCOLN DR,19118,40.0675869,-75.2030746
111,Levy Park,5,1619-29 ARCH ST,19103,39.9551400,-75.1673380
112,Nichols Park,8,5430-46 RACE ST,19139,39.9634050,-75.2296080
