174,2685644.02459537,226767.46079274,145025,28 & Snyder Supermarket,$,2800 Snyder Ave,19145,Healthy Corner Store,39.9271400,-75.1927510
175,2675129.14367820,236339.06617635,143028,3 Sisters #2,Delancey Food Market,5356 Delancey Street,19143,Healthy Corner Store,39.9543629,-75.2297488
176,2676963.26606607,239462.36751344,139003,51 Race Food Market Inc,51 Race Food Market,5101 Race St,19139,Healthy Corner Store,39.9630409,-75.2223379
177,2678141.46434920,231360.95068781,143003,52nd Street Food Market,52nd St Market,1401 S 52nd St,19143,Healthy Corner Store,39.9406000,-75.2185470
178,2672597.30682995,236672.70048507,143004,58th St. & Delancey Food Market,58th & Delancey Food Mar,5800 Delancey St,19143,Healthy Corner Store,39.9554100,-75.2382210
179,2690228.43296617,230478.21762624,146006,A & H Food Market,A & H Food Market,1946 Federal St,19146,Healthy Corner Store,39.9370830,-75.1766240
180,2692439.92860543,223977.93882432,148004,A&E Grocery,A & E Grocery,1300 W Porter St,19148,Healthy Corner Store,39.9189719,-75.1688240
181,2720712.83462148,274359.91420340,152014,Acai Berry Caf�,Acai Berry Caf�,7534 Castor Ave,19152,Healthy Corner Store,40.0551610,-75.0628520
182,2694429.16723510,250728.03900118,132006,Agramonte Grocery Store,Agramonte Grocery Store,2568 N Bancroft St,19132,Healthy Corner Store,39.9927735,-75.1588519
183,2705701.88323251,261387.27421825,120032,Al Aqsa Halal,Al Aqsa Halal,419 East Wyoming Ave,19120,Healthy Corner Store,40.0209060,-75.1174494
184,2675977.45114628,225423.96417448,142004,Aladdin Food Market,Aladdin Food Market,6247 Elmwood Ave,19142,Healthy Corner Store,39.9242930,-75.2278000
185,2688218.19691815,251203.56036987,132007,Alejandro Grocery Store,Alejandro Grocery,3000 W Cumberland St,19132,Healthy Corner Store,39.9940342,-75.1810349
186,2706593.81713185,253119.34518844,134004,Almanzar Mini Market,Almanzar Mini Market,800 E Willard St,19134,Healthy Corner Store,39.9978310,-75.1150930
187,2709912.13585682,269771.32477656,120014,Almonte Mini Market,Almonte Mini Market,546 Van Kirk St,19120,Healthy Corner Store,40.0431127,-75.1016247
188,2679300.78644285,234454.65054006,143009,Amin Gas & Mini Mart,Amin Gas & Mini Market,4548 Baltimore Ave,19143,Healthy Corner Store,39.9486180,-75.2143490
189,2702025.64601886,253908.74603105,140014,Angel Deli Grocery,Caribe Grocery,3300 Mutter St,19140,Healthy Corner Store,40.0005580,-75.1314760
190,2671510.85974967,236890.58081960,143011,Angelo's Food Market,Twins Mini Market,309 S 60th St,19143,Healthy Corner Store,39.9562145,-75.2419542
191,2716936.00230499,256397.35195198,137001,Angel's Deli,Angel's Deli,2350 Orthodox St,19137,Healthy Corner Store,40.0061139,-75.0781720
192,2702585.34501706,244163.69477416,125002,Annes Place,Anne's Place,460 Belgrade St,19125,Healthy Corner Store,39.9737938,-75.1300397
193,2688504.38000448,230425.59090881,146012,Arheny Food Market,Arheny Food Market,1240 S 23rd St,19146,Healthy Corner Store,39.9370880,-75.1822606
194,2710935.94335833,253222.79685943,134009,Ariel Grocery Inc,Ariel Grocery,2090 E Pacific St,19134,Healthy Corner Store,39.9976862,-75.0996802
195,2698124.50196563,250987.89107088,133003,AVP Grocery Store,Santos Grocery,811 W Lehigh Ave,19133,Healthy Corner Store,39.9930240,-75.1454520
196,2677896.55141113,231870.39082334,143040,Azcona Supermarket,Good Neighbor Market,5131 Chester Ave,19143,Healthy Corner Store,39.9418870,-75.2202460
197,2693207.55401151,250531.23741582,132010,Baez Grocery,19th St. Grocery,2500 N 19Th St,19132,Healthy Corner Store,39.9920034,-75.1633703
198,2689088.58780523,225113.32665524,145049,"Barbaro, Inc",Rocco's Market,2355 S Woodstock St,19145,Healthy Corner Store,,
199,2693610.00995183,222609.65402212,148010,Bettys Grocery,Betty's Grocery,2747 S 10Th St,19148,Healthy Corner Store,39.9146899,-75.1645017
200,2690298.58682210,253229.35853688,132062,Breton Grocery,Breton Grocery,2900 N 26Th St,19132,Healthy Corner Store,39.9996464,-75.1734525
201,2695699.97161988,257619.01464190,140012,Brother's Grocery,Lopez Grocery,1540 W Butler St,19140,Healthy Corner Store,40.0110540,-75.1540370
202,2676865.93112108,225795.77500228,142009,Buist Food Market,Buist Food Market,2561 S 61St St,19142,Healthy Corner Store,39.9250958,-75.2234396
203,2711337.95206410,271861.48898771,111004,C & R Deli Grocery,C R Grocery,6351 Rising Sun Ave,19111,Healthy Corner Store,40.0493390,-75.0955190
204,2706194.48760509,249793.57994996,134018,Cambria Mini Market,Cambria Mini Market,2085 E Cambria St,19134,Healthy Corner Store,39.9888160,-75.1166280
205,2701554.82479940,273897.42579124,126017,Candy 4 Days,Candy 4 Days,712 Oak Lane,19126,Healthy Corner Store,40.0554961,-75.1302379
206,2701596.20868919,253972.00528176,140013,Caribe Grocery,Caribe Grocery,3301 N 2Nd St,19140,Healthy Corner Store,40.0006703,-75.1328770
207,2706426.40699877,252698.89955880,134015,Carmen  Grocery,Carmen Grocery,767 East Allegheny Ave,19134,Healthy Corner Store,39.9969980,-75.1155120
208,2688082.41219867,248751.61958574,121075,Carolina Market,Carolina Market,2952 Ridge Ave,19121,Healthy Corner Store,39.9875550,-75.1821100
209,2707608.61032049,252983.67066870,134016,Casablanca Grocery,Casablanca Grocery,3257 Kensington Ave,19134,Healthy Corner Store,39.9973320,-75.1113030
210,2704929.89283043,262074.79181421,120015,Castillo's Grocery,Castillo's Deli Grocery,4800 B St,19120,Healthy Corner Store,40.0227498,-75.1203383
