"OBJECTID,N,10,0","NAME,C,100","DISTRICT,N,9,0","ADDRESS,C,50","ZIPCODE,C,5"
70,"McMichael Park",4,"3201-45 MIDVALE AVE","19129"
71,"Fotteral Square",6,"2400 N 11TH ST","19133"
72,"Harrowgate Park",2,"3455 KENSINGTON AVE","19134"
73,"Lardner's Point Park",2,"5202 LEVICK ST","19135"
74,"Mifflin Square",7,"500 WOLF ST","19148"
75,"Overington Park",3,"4600 LEIPER ST","19124"
76,"Girard Estates Park",7,"2101 SHUNK ST","19145"
77,"Park Towne",5,"BENJAMIN FRANKLIN PKY","19130"
78,"Clara Muhammad Square",8,"4700-30 LANCASTER AVE","19131"
79,"Harper's Hollow Park",4,"5850 OGONTZ AVE","19141"
80,"Poquessing Creek Park",1,"1300-2600 POQUESSING CRK DR","19116"
81,"Jefferson Square",7,"300 WASHINGTON AVE","19147"
82,"63rd & Lindbergh Park",8,"2800 S 63RD ST","19142"
83,"Northwood Park",3,"999 ARROTT ST","19124"
84,"Pleasanthill Park",1,"9201 N DELAWARE AVE","19114"
85,"Fairhill Square",6,"2601-61 N LAWRENCE ST","19133"
86,"Kelly Park",4,"440-42 PARKER AVE","19128"
87,"Campbell Square",2,"2525 E ALLEGHENY AVE","19134"
88,"Cloverly Park",4,"5425 WISSAHICKON AVE","19144"
89,"Matthias Baldwin Park",5,"423-33 N 19TH ST","19130"
90,"John F. Kennedy Plaza",5,"1501 JOHN F KENNEDY BLV","19102"
91,"Womrath Park",3,"4098 FRANKFORD AVE","19124"
92,"Clarkson Park",3,"5401-55 N BROAD ST","19141"
93,"Vine Street Cover",5,"200 N 18TH ST","19103"
94,"Foglietta Plaza",5,"109 SPRUCE ST","19106"
95,"Manayunk Park",4,"4300 SILVERWOOD ST","19127"
96,"Aviator Park",5,"200 N 19TH ST","19103"
97,"Cassiano Park",6,"2301 N 04TH ST","19133"
98,"Kay Park",4,"4712 PULASKI AVE","19144"
99,"Sherwood Park",8,"5601 BALTIMORE AVE","19143"
100,"Sisters City Park",5,"200 N 18TH ST","19103"
101,"Howell Park",4,"5215 GREENE ST","19144"
102,"Shevchenko Park",3,"5301 N BROAD ST","19141"
103,"Innyard Park",5,"4208-52 RIDGE AVE","19129"
104,"Lovett Park",4,"6923-45 GERMANTOWN AVE","19119"
105,"Three Parkway",5,"110 N 16TH ST","19103"
106,"Buist Park",8,"2528 HOBSON ST","19142"
107,"Fairview Park",4,"4418 MANAYUNK AVE","19128"
108,"Winston Park",4,"181-85 E WILLOW GROVE AVE","19118"
109,"Konrad Square",2,"2200-26 E DAUPHIN ST","19125"
110,"Woodward Pines",4,"7930-34 LINCOLN DR","19118"
111,"Levy Park",5,"1619-29 ARCH ST","19103"
112,"Nichols Park",8,"5430-46 RACE ST","19139"
113,"Frankford & Pennypack Park",1,"4400 PENNYPACK ST","19136"
114,"Powers Park",2,"2987 ALMOND ST","19134"
115,"Gold Star Park",7,"613 WHARTON ST","19147"
116,"Hawthorne Park",7,"750 S 12TH ST","19147"
117,"Tolentine Community Park",7,"1025-33 MIFFLIN ST","19148"
118,"Cedar Park",8,"4917-53 BALTIMORE AVE","19143"
119,"75th & Chelwynde Park",8,"2604 ISLAND AVE","19153"
120,"Palmer Park",2,"1701-21 FRANKFORD AVE","19125"
121,"Ben Barkan Park",8,"4936-58 SPRUCE ST","19143"
122,"Fitler Square",5,"2301-23 PINE ST","19103"
123,"Triangle Park",8,"5425R-65 UPLAND WAY","19131"
124,"Cianfrani Park",7,"721 S 08TH ST","19147"
125,"Merritt Square",3,"1321 STEINBER ST","19124"
126,"La Noce Park",4,"5119 ROCHELLE AVE","19128"
127,"Mario Lanza Park",7,"214 CATHARINE ST","19147"
128,"Mollbore Terrace Park",7,"1226 MOLLBORE TER","19148"
129,"Kopernicus Triangle",5,"1716-34 RACE ST","19103"
130,"Ross Park",3,"1000 W GLENWOOD AVE","19133"
131,"Weinberg Park",7,"2201-09 S 06TH ST","19148"
132,"Louis Kahn Park",5,"328-38 S 11TH ST","19107"
