"OBJECTID,N,10,0","NAME,C,100","DISTRICT,N,9,0","ADDRESS,C,50","ZIPCODE,C,5","WEBSITE,C,100"
31,Ramp,1,3300-40 SOLLY AVE,19136,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=817
32,Picariello,1,3325 RED LION RD,19154,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=812
33,Lee Cultural Center,8,4310 HAVERFORD AVE,19104,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=778
34,Kingsessing,8,4901 KINGSESSING AVE,19143,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=773
35,Houseman,3,5091 SUMMERDALE AVE,19124,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=764
36,Houston,4,900 GRAKYN LA,19128,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=765
37,Shepard,8,5700 HAVERFORD AVE,19131,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=830
38,Kendrick,4,5822-24 RIDGE AVE,19128,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=771
39,Bridesburg,2,4625 RICHMOND ST,19137,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=715
40,Cobbs Creek,8,250 S 63RD ST,19139,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=885
41,Myers,8,5800 CHESTER AVE,19143,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=802
42,Smith,7,2200 S 24TH ST,19145,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=836
43,McDevitt,4,3500 CRAWFORD ST,19129,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=790
44,Ziehler,3,200-64 E OLNEY AVE,19120,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=857
45,Mitchell,1,3694 CHESTERFIELD RD,19114,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=794
46,Finley,4,7701 MANSFIELD AVE,19150,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=738
47,Gifford,1,575 TOMLINSON RD,19116,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=752
48,Morris Estate,4,1610 CHELTEN AVE,19141,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=797
49,McVeigh,3,400-64 E ONTARIO ST,19134,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=792
50,McArdle,1,8930 ASHTON RD,19152,http://www.phila.gov/parksandrecreation/findafacility/RecCenterDetails.aspx?ID=788
